STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,YEAR_RANGE,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Andaman And Nicobar,North and Middle Andaman,PMGSY-II,2013-2018,24,0,0,0,24,0,54.67,27.7646,20.34,5.5177,34.33
Andaman And Nicobar,North and Middle Andaman,PMGSY-III,2019-Present,14,0,0,0,14,0,69.756,82.6236,0,0,69.756
Andhra Pradesh,Alluri Sitharama Raju,PMGSY-I,2000-2013,472,17,467,16,5,1,1952.378,775.6992,1809.482,702.0291,24.34
Andhra Pradesh,Alluri Sitharama Raju,PMGSY-III,2019-Present,3,1,2,0,1,1,29.1,15.62,28.415,10.9634,1.515
Andhra Pradesh,Anantapur,PMGSY-III,2019-Present,16,5,14,0,2,5,145.623,109.8399,130.107,84.6539,10.8
Andhra Pradesh,Annamayya,PMGSY-I,2000-2013,144,6,144,6,0,0,495.735,106.8891,479.78,101.3144,0
Andhra Pradesh,Annamayya,PMGSY-III,2019-Present,55,1,35,0,20,1,412.738,234.54631,248.484,121.2208,157.275
Andhra Pradesh,Bapatla,PMGSY-II,2013-2018,6,0,6,0,0,0,53.43,28.7436,53.763,24.3953,0
Andhra Pradesh,Bapatla,PMGSY-III,2019-Present,12,3,5,0,7,3,82.069,87.31,53.766,31.9527,27.622
Andhra Pradesh,Chittoor,PMGSY-I,2000-2013,148,3,148,3,0,0,482.261,101.8512,471.991,100.7436,0
Andhra Pradesh,Eluru,PMGSY-II,2013-2018,7,0,7,0,0,0,45.54,22.2167,44.101,18.5315,0
Andhra Pradesh,Guntur,PMGSY-I,2000-2013,109,1,109,1,0,0,266.58,50.3647,273.22,49.8978,0
Andhra Pradesh,Krishna,PMGSY-III,2019-Present,16,6,6,0,10,6,95.023,115.75985,55.535,41.1027,37.608
Andhra Pradesh,Kurnool,PMGSY-I,2000-2013,138,24,138,24,0,0,454.725,137.4856,419.89,132.1242,0
Andhra Pradesh,Nandyal,PM-JANMAN,2023-Present,1,0,0,0,1,0,7.11,4.4,0,0,7.11
Andhra Pradesh,Nellore,PMGSY-I,2000-2013,227,39,227,39,0,0,901.696,250.6012,862.573,239.3714,0
Andhra Pradesh,Palnadu,PMGSY-I,2000-2013,138,4,138,4,0,0,565.97,142.3531,565.606,150.4727,0
Andhra Pradesh,Srikakulam,PM-JANMAN,2023-Present,6,0,0,0,6,0,13.7,10.24,0,0,13.7
